time,(G)
0.000000,-6.548959E-2
0.142857,-6.194031E-2
0.285714,-6.675874E-2
0.428571,-6.683661E-2
0.571429,-6.386422E-2
0.714286,-6.835526E-2
0.857143,-6.820095E-2
1.000000,-6.825719E-2
1.142857,-7.074212E-2
1.285714,-7.027484E-2
1.428571,-6.756060E-2
1.571429,-6.573044E-2
1.714286,-6.079375E-2
1.857143,-6.405892E-2
2.000000,-6.499924E-2
2.142857,-6.306523E-2
2.285714,-6.384114E-2
2.428571,-6.567131E-2
2.571429,-6.803509E-2
2.714286,-6.394066E-2
2.857143,-6.233836E-2
3.000000,-6.080241E-2
3.142857,-6.171677E-2
3.285714,-6.433150E-2
3.428571,-6.190137E-2
3.571429,-6.121344E-2
3.714286,-5.865063E-2
3.857143,-5.721275E-2
4.000000,-5.675845E-2
4.142857,-5.681614E-2
4.285714,-5.511721E-2
4.428571,-5.342983E-2
4.571429,-5.130401E-2
4.714286,-5.185494E-2
4.857143,-4.811384E-2
5.000000,-5.419276E-2
5.142857,-5.309524E-2
5.285714,-5.082952E-2
5.428571,-5.024399E-2
5.571429,-4.779656E-2
5.714286,-4.742447E-2
5.857143,-4.740716E-2
6.000000,-4.962239E-2
6.142857,-5.168331E-2
6.285714,-5.092471E-2
6.428571,-4.982863E-2
6.571429,-5.192849E-2
6.714286,-5.161120E-2
6.857143,-5.326974E-2
7.000000,-5.173667E-2
7.142857,-4.821768E-2
7.285714,-4.711006E-2
7.428571,-4.857535E-2
7.571429,-4.968441E-2
7.714286,-5.036657E-2
7.857143,-4.927915E-2
8.000000,-5.388989E-2
8.142857,-5.021658E-2
8.285714,-5.429804E-2
8.428571,-5.172081E-2
8.571429,-5.542729E-2
8.714286,-5.591908E-2
8.857143,-4.850901E-2
9.000000,-4.820470E-2
9.142857,-4.479099E-2
9.285714,-4.660096E-2
9.428571,-4.699324E-2
9.571429,-4.650722E-2
9.714286,-4.834892E-2
9.857143,-5.088865E-2
10.000000,-5.105307E-2
10.142857,-5.410334E-2
10.285714,-5.051368E-2
10.428571,-5.248662E-2
10.571429,-5.070405E-2
10.714286,-5.230346E-2
10.857143,-5.590322E-2
11.000000,-5.249383E-2
11.142857,-5.343848E-2
11.285714,-5.134872E-2
11.428571,-4.859842E-2
11.571429,-4.983296E-2
11.714286,-5.018486E-2
11.857143,-4.901667E-2
12.000000,-5.063194E-2
12.142857,-4.712016E-2
12.285714,-4.765810E-2
12.428571,-4.967287E-2
12.571429,-4.717064E-2
12.714286,-4.762926E-2
12.857143,-5.119008E-2
13.000000,-5.141073E-2
13.142857,-5.154919E-2
13.285714,-5.397066E-2
13.428571,-4.923444E-2
13.571429,-5.303899E-2
13.714286,-5.012428E-2
13.857143,-4.339493E-2
14.000000,-4.104845E-2
14.142857,-4.321033E-2
14.285714,-4.170466E-2
14.428571,-4.393576E-2
14.571429,-4.961951E-2
14.714286,-5.182176E-2
14.857143,-5.385961E-2
15.000000,-5.300726E-2
15.142857,-5.506241E-2
15.285714,-5.540566E-2
15.428571,-5.475378E-2
15.571429,-5.132709E-2
15.714286,-5.385240E-2
15.857143,-5.535951E-2
16.000000,-5.720986E-2
16.142857,-5.154342E-2
16.285714,-5.367500E-2
16.428571,-5.389134E-2
16.571429,-5.885542E-2
16.714286,-5.911791E-2
16.857143,-5.924482E-2
17.000000,-5.938760E-2
17.142857,-5.783578E-2
17.285714,-5.726467E-2
17.428571,-5.784876E-2
17.571429,-6.035532E-2
17.714286,-6.168937E-2
17.857143,-6.292678E-2
18.000000,-6.038561E-2
18.142857,-5.911791E-2
18.285714,-5.667913E-2
18.428571,-6.055579E-2
18.571429,-6.032215E-2
18.714286,-5.941212E-2
18.857143,-6.003227E-2
19.000000,-5.891023E-2
19.142857,-5.685075E-2
19.285714,-5.297553E-2
19.428571,-5.690267E-2
19.571429,-5.718246E-2
19.714286,-5.873716E-2
19.857143,-6.077356E-2
20.000000,-6.122209E-2
20.142857,-6.314744E-2
20.285714,-6.442668E-2
20.428571,-6.730245E-2
20.571429,-6.364500E-2
20.714286,-5.898378E-2
20.857143,-5.770742E-2
21.000000,-5.901262E-2
21.142857,-5.851074E-2
21.285714,-5.617580E-2
21.428571,-5.951884E-2
21.571429,-6.175138E-2
