time	V(n002)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-009	8.978366e-007
1.549420542022663e-004	2.738669e-001
3.098831084045325e-004	5.407055e-001
4.648241626067988e-004	8.005168e-001
6.197652168090650e-004	1.053301e+000
7.747062710113313e-004	1.299057e+000
9.296473252135975e-004	1.537786e+000
1.084588379415863e-003	1.769488e+000
1.474515834772998e-003	2.320281e+000
1.864443290130133e-003	2.839319e+000
2.254370745487267e-003	3.326600e+000
2.644298200844402e-003	3.782126e+000
3.034225656201537e-003	4.205895e+000
3.424153111558671e-003	4.597909e+000
3.814080566915805e-003	4.958167e+000
3.959169852630087e-003	5.087608e+000
4.104259138344371e-003	5.213923e+000
4.249348424058653e-003	5.337113e+000
4.394437709772936e-003	5.457176e+000
4.539526995487218e-003	5.574114e+000
4.684616281201501e-003	5.687926e+000
4.829705566915784e-003	5.798612e+000
4.834588379415783e-003	5.802294e+000
4.999999000000000e-003	5.925131e+000
5.000000000000000e-003	5.925131e+000
