time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-009	1.000000e+001	8.978366e-007
1.428581428571429e-004	1.000000e+001	2.528472e-001
2.857152857142858e-004	1.000000e+001	4.996749e-001
4.285724285714287e-004	1.000000e+001	7.404840e-001
5.714295714285716e-004	1.000000e+001	9.752744e-001
7.142867142857145e-004	1.000000e+001	1.204046e+000
8.571438571428573e-004	1.000000e+001	1.426799e+000
1.000001000000000e-003	1.000000e+001	1.643534e+000
1.000002000000000e-003	0.000000e+000	1.643534e+000
1.142858857142857e-003	0.000000e+000	1.601978e+000
1.285715714285715e-003	0.000000e+000	1.561411e+000
1.428572571428572e-003	0.000000e+000	1.521833e+000
1.571429428571429e-003	0.000000e+000	1.483245e+000
1.714286285714286e-003	0.000000e+000	1.445646e+000
1.857143142857143e-003	0.000000e+000	1.409035e+000
2.000000000000000e-003	0.000000e+000	1.373414e+000
2.000001000000000e-003	1.000000e+001	1.373415e+000
2.142858142857143e-003	1.000000e+001	1.591535e+000
2.285715285714286e-003	1.000000e+001	1.804463e+000
2.428572428571429e-003	1.000000e+001	2.012199e+000
2.571429571428572e-003	1.000000e+001	2.214743e+000
2.714286714285715e-003	1.000000e+001	2.412095e+000
2.857143857142857e-003	1.000000e+001	2.604255e+000
3.000001000000000e-003	1.000000e+001	2.791223e+000
3.000002000000000e-003	9.267502e-010	2.791223e+000
3.000002040000000e-003	0.000000e+000	2.791223e+000
3.142858605714285e-003	0.000000e+000	2.720648e+000
3.285715171428571e-003	0.000000e+000	2.651753e+000
3.428571737142857e-003	0.000000e+000	2.584538e+000
3.571428302857143e-003	0.000000e+000	2.519003e+000
3.714284868571428e-003	0.000000e+000	2.455148e+000
3.857141434285714e-003	0.000000e+000	2.392973e+000
3.999997999999999e-003	0.000000e+000	2.332478e+000
3.999999000000000e-003	0.000000e+000	2.332478e+000
4.000000000000000e-003	0.000000e+000	2.332477e+000
