Channel 1,Channel 2,Channel 3
0.000100,0.166000,0.752688
0.000150,0.249000,0.669599
0.000200,0.323000,0.596285
0.000250,0.386000,0.532747
0.000300,0.450000,0.469208
0.000360,0.503000,0.415445
0.000410,0.547000,0.371457
0.000470,0.591000,0.327468
0.000520,0.626000,0.293255
0.000580,0.660000,0.259042
0.000630,0.684000,0.234604
0.000680,0.709000,0.195503
0.000740,0.733000,0.185728
0.000790,0.758000,0.161290
0.000840,0.772000,0.141740
0.000900,0.787000,0.131965
0.000950,0.797000,0.122190
0.001010,0.811000,0.107527
0.001070,0.816000,0.102639
0.001120,0.836000,0.078201
0.001180,0.841000,0.078201
0.001230,0.850000,0.068426
0.001280,0.855000,0.063539
0.001340,0.860000,0.058651
0.001390,0.865000,0.053763
0.001440,0.875000,0.043988
0.001500,0.875000,0.043988
0.001550,0.880000,0.039101
0.001610,0.880000,0.039101
0.001660,0.885000,0.034213
0.001720,0.890000,0.029326
0.001770,0.890000,0.029326
0.001820,0.894000,0.024438
0.001880,0.899000,0.014663
0.001930,0.899000,0.019550
0.001980,0.899000,0.019550
0.002040,0.899000,0.014663
0.002090,0.899000,0.014663
0.002140,0.899000,0.014663
0.002190,0.899000,0.014663
0.002240,0.899000,0.019550
0.002290,0.904000,0.009775
0.002340,0.904000,0.009775
0.002390,0.904000,0.014663
0.002440,0.904000,0.009775
0.002490,0.904000,0.014663
0.002540,0.904000,0.000000
0.002590,0.904000,0.009775
0.002640,0.904000,0.009775
0.002690,0.904000,0.014663
0.002740,0.904000,0.014663
0.002790,0.904000,0.009775
0.002840,0.909000,0.004888
0.002890,0.909000,0.009775
0.002940,0.909000,0.004888
0.002990,0.909000,0.009775
0.003040,0.914000,0.004888
0.003100,0.914000,0.000000
0.003150,0.914000,0.000000
0.003200,0.914000,0.004888
0.003250,0.914000,0.004888
0.003300,0.914000,0.004888
0.003350,0.914000,0.000000
0.003400,0.914000,0.000000
0.003450,0.914000,-0.014663
0.003500,0.914000,0.004888
0.003550,0.914000,-0.009775
0.003600,0.914000,0.004888
0.003650,0.914000,0.004888
0.003700,0.914000,0.004888
0.003750,0.914000,0.004888
0.003800,0.914000,0.004888
0.003850,0.914000,-0.004888
0.003900,0.914000,0.004888
0.003950,0.914000,0.004888
0.004000,0.914000,0.004888
0.004050,0.914000,0.000000
0.004100,0.914000,0.004888
0.004160,0.914000,-0.009775
0.004200,0.914000,0.000000
0.004260,0.914000,0.004888
0.004300,0.914000,0.004888
0.004360,0.914000,0.004888
0.004400,0.914000,0.004888
0.004460,0.914000,0.000000
0.004500,0.914000,0.004888
0.004560,0.914000,0.000000
0.004600,0.914000,0.004888
0.004660,0.914000,0.004888
0.004700,0.914000,0.004888
0.004760,0.914000,0.000000
0.004800,0.914000,0.004888
0.004860,0.914000,0.000000
0.004900,0.914000,0.004888
0.004960,0.914000,-0.009775
0.005000,0.914000,0.004888
0.005060,0.914000,0.004888
0.005100,0.914000,0.000000
0.005160,0.914000,0.004888
0.005210,0.914000,0.000000
0.005260,0.914000,0.004888
0.005310,0.914000,0.004888
0.005360,0.914000,0.004888
0.005410,0.914000,0.004888
0.005460,0.914000,0.000000
0.005510,0.914000,0.004888
0.005560,0.914000,0.000000
0.005610,0.914000,0.004888
0.005660,0.914000,0.004888
0.005710,0.914000,0.004888
0.005760,0.914000,0.004888
0.005810,0.914000,0.004888
0.005860,0.914000,0.004888
0.005910,0.914000,0.004888
0.005960,0.914000,0.004888
0.006010,0.914000,0.004888
0.006060,0.914000,0.004888
0.006110,0.914000,0.004888
0.006160,0.914000,0.004888
0.006210,0.914000,0.004888
0.006260,0.914000,0.004888
0.006310,0.914000,0.004888
0.006360,0.914000,0.000000
0.006410,0.914000,0.004888
0.006460,0.914000,0.000000
0.006510,0.914000,0.004888
0.006560,0.914000,0.000000
0.006610,0.914000,0.004888
0.006660,0.914000,0.000000
0.006710,0.914000,0.004888
0.006760,0.914000,0.004888
0.006810,0.914000,0.004888
0.006860,0.914000,0.004888
0.006910,0.914000,0.004888
0.006960,0.914000,0.000000
0.007010,0.914000,0.004888
0.007060,0.914000,0.004888
0.007110,0.914000,0.004888
0.007160,0.914000,0.004888
0.007210,0.914000,0.004888
0.007260,0.914000,0.004888
0.007310,0.914000,0.004888
0.007360,0.914000,0.004888
0.007410,0.914000,0.004888
0.007460,0.914000,0.004888
0.007510,0.914000,0.004888
0.007560,0.914000,0.004888
0.007610,0.914000,0.004888
0.007660,0.914000,0.004888
0.007710,0.865000,-0.865000
0.007760,0.758000,-0.758000
0.007810,0.660000,-0.660000
0.007860,0.587000,-0.587000
0.007920,0.518000,-0.518000
0.007970,0.459000,-0.459000
0.008020,0.406000,-0.406000
0.008070,0.362000,-0.362000
0.008120,0.318000,-0.318000
0.008180,0.288000,-0.288000
0.008230,0.249000,-0.249000
0.008280,0.225000,-0.225000
0.008330,0.200000,-0.200000
0.008380,0.181000,-0.181000
0.008430,0.161000,-0.161000
0.008480,0.147000,-0.147000
0.008530,0.127000,-0.127000
0.008580,0.117000,-0.117000
0.008640,0.103000,-0.103000
0.008690,0.088000,-0.088000
0.008740,0.078000,-0.078000
0.008790,0.073000,-0.073000
0.008840,0.064000,-0.064000
0.008890,0.059000,-0.059000
0.008940,0.049000,-0.049000
0.008990,0.044000,-0.044000
0.009040,0.034000,-0.034000
0.009100,0.034000,-0.034000
0.009140,0.029000,-0.029000
0.009200,0.029000,-0.029000
0.009250,0.020000,-0.020000
0.009300,0.015000,-0.015000
0.009350,0.015000,-0.015000
0.009400,0.015000,-0.015000
0.009450,0.015000,-0.015000
0.009500,0.010000,-0.010000
0.009550,0.010000,-0.010000
0.009600,0.005000,-0.005000
0.009660,0.005000,-0.005000
0.009710,0.005000,-0.005000
0.009760,0.005000,-0.005000
0.009810,0.005000,-0.005000
0.009860,0.000000,0.000000
0.009910,0.000000,0.000000
0.009960,0.000000,0.000000
0.010010,0.000000,0.000000
0.010060,0.000000,0.000000
0.010120,0.000000,0.000000
0.010160,0.000000,0.000000
0.010220,0.000000,0.000000
0.010270,0.000000,0.000000
0.010320,0.000000,0.000000
0.010370,0.000000,0.000000
0.010420,0.000000,0.000000
0.010470,0.000000,0.000000
0.010520,0.000000,0.000000
0.010570,0.000000,0.000000
0.010620,0.000000,0.000000
0.010680,0.000000,0.000000
0.010730,0.000000,0.000000
0.010780,0.000000,0.000000
0.010830,0.000000,0.000000
0.010880,0.000000,0.000000
0.010930,0.000000,0.000000
0.010980,0.000000,0.000000
0.011040,0.000000,0.000000
0.011080,0.000000,0.000000
0.011140,0.000000,0.000000
0.011190,0.000000,0.000000
0.011240,0.000000,0.000000
0.011290,0.000000,0.000000
0.011340,0.000000,0.000000
