Channel 1,Channel 2
0.000050,3.441000
0.000080,3.954000
0.000100,3.627000
0.000130,3.050000
0.000160,2.972000
0.000180,3.353000
0.000210,3.612000
0.000230,3.475000
0.000260,3.211000
0.000290,3.196000
0.000320,3.407000
0.000350,3.456000
0.000380,3.314000
0.000410,3.265000
0.000440,3.363000
0.000480,3.402000
0.000500,3.343000
0.000540,3.299000
0.000570,3.343000
0.000600,3.368000
0.000630,3.353000
0.000660,3.319000
0.000690,3.338000
0.000720,3.358000
0.000750,3.353000
0.000780,3.343000
0.000810,3.343000
0.000840,3.343000
0.000870,3.343000
0.000900,3.343000
0.000930,3.343000
0.000960,3.343000
0.001000,3.343000
0.001030,3.343000
0.001060,3.343000
0.001090,3.343000
0.001120,3.343000
0.001150,3.343000
0.001180,3.343000
0.001210,3.343000
0.001240,3.343000
0.001270,3.343000
0.001300,3.343000
0.001330,3.343000
0.001360,3.343000
0.001390,3.343000
0.001420,3.343000
0.001460,3.343000
0.001480,3.343000
0.001520,3.343000
0.001540,3.343000
0.001580,3.343000
0.001600,3.343000
0.001640,3.343000
0.001670,3.343000
0.001700,3.343000
0.001730,3.343000
0.001760,3.343000
0.001790,3.343000
0.001820,3.343000
0.001850,3.343000
0.001880,3.343000
0.001910,3.343000
0.001940,3.343000
0.001970,3.343000
0.002000,3.343000
0.002030,3.343000
0.002060,3.343000
0.002090,3.343000
0.002120,3.343000
0.002140,3.343000
0.002170,3.343000
0.002200,3.343000
0.002220,3.343000
0.002250,3.343000
0.002280,3.343000
0.002300,3.343000
0.002330,3.343000
0.002360,3.343000
0.002380,3.343000
0.002410,3.343000
0.002440,3.343000
0.002460,3.343000
0.002490,3.343000
0.002520,3.343000
0.002540,3.343000
0.002570,3.343000
0.002600,3.343000
0.002620,3.343000
0.002650,3.343000
0.002680,3.343000
0.002700,3.343000
0.002730,3.343000
0.002760,3.343000
0.002780,3.343000
0.002810,3.343000
0.002840,3.343000
0.002860,3.343000
0.002890,3.343000
0.002920,3.343000
0.002940,3.343000
0.002970,3.343000
0.002990,3.343000
0.003020,3.343000
0.003050,3.343000
0.003080,3.343000
0.003110,3.343000
0.003130,3.343000
0.003160,3.343000
0.003190,3.343000
0.003210,3.343000
0.003240,3.338000
0.003260,3.328000
0.003290,3.328000
0.003320,3.338000
0.003340,3.328000
0.003370,3.328000
0.003400,3.328000
0.003420,3.328000
0.003450,3.328000
0.003480,3.328000
0.003500,3.328000
0.003530,3.328000
0.003560,3.328000
0.003580,3.328000
0.003610,3.338000
0.003640,3.328000
0.003660,3.328000
0.003690,3.328000
0.003720,3.328000
0.003740,3.328000
0.003770,3.328000
0.003800,3.328000
0.003820,3.328000
0.003850,3.328000
0.003880,3.328000
0.003900,3.328000
0.003930,3.328000
0.003960,3.328000
0.003980,3.328000
0.004010,3.328000
0.004040,3.328000
0.004060,3.328000
0.004090,3.328000
0.004120,3.328000
0.004140,3.319000
0.004170,3.328000
0.004200,3.328000
0.004220,3.328000
0.004250,3.319000
0.004280,3.319000
0.004300,3.319000
0.004330,3.328000
0.004360,3.328000
0.004380,3.328000
0.004410,3.328000
0.004440,3.328000
0.004460,3.319000
0.004490,3.319000
0.004520,3.319000
0.004540,3.319000
0.004570,3.319000
0.004600,3.319000
0.004620,3.319000
0.004650,3.319000
0.004680,3.319000
0.004700,3.319000
0.004730,3.319000
0.004760,3.319000
0.004780,3.319000
0.004810,3.328000
0.004840,3.319000
0.004860,3.319000
0.004890,3.319000
0.004920,3.319000
0.004940,3.319000
0.004970,3.319000
0.005000,3.319000
0.005020,3.319000
0.005050,3.319000
0.005080,3.319000
0.005100,3.319000
0.005140,3.319000
0.005160,3.319000
0.005190,3.319000
0.005220,3.319000
0.005240,3.319000
0.005270,3.319000
0.005300,3.319000
0.005320,3.319000
0.005350,3.319000
0.005380,3.319000
0.005400,3.319000
0.005430,3.319000
0.005460,3.319000
0.005480,3.319000
0.005510,3.319000
0.005540,3.319000
0.005560,3.319000
0.005590,3.319000
0.005620,3.319000
0.005640,3.319000
0.005670,3.319000
0.005700,3.319000
0.005720,3.319000
0.005750,3.319000
0.005780,3.319000
0.005800,3.319000
0.005830,3.319000
0.005860,3.319000
0.005880,3.319000
0.005910,3.319000
0.005940,3.319000
0.005960,3.319000
0.005990,3.319000
0.006010,3.319000
0.006040,3.319000
0.006070,3.319000
0.006090,3.319000
0.006110,2.361000
0.006140,1.476000
0.006170,0.777000
0.006200,1.232000
0.006230,1.813000
0.006260,1.657000
0.006290,1.212000
0.006320,1.212000
0.006350,1.525000
0.006380,1.598000
0.006410,1.398000
0.006440,1.285000
0.006470,1.403000
0.006500,1.515000
0.006530,1.437000
0.006560,1.369000
0.006590,1.403000
0.006620,1.466000
0.006650,1.442000
0.006680,1.403000
0.006710,1.403000
0.006740,1.437000
0.006770,1.442000
0.006800,1.422000
0.006830,1.403000
0.006860,1.422000
0.006880,1.437000
0.006920,1.422000
0.006940,1.413000
0.006980,1.422000
0.007000,1.422000
0.007030,1.422000
0.007060,1.422000
0.007090,1.422000
0.007120,1.422000
0.007150,1.422000
0.007180,1.422000
0.007210,1.422000
0.007240,1.422000
0.007270,1.422000
0.007300,1.422000
0.007330,1.422000
0.007360,1.422000
0.007390,1.422000
0.007420,1.422000
0.007440,1.422000
0.007480,1.422000
0.007500,1.422000
0.007540,1.422000
0.007570,1.422000
0.007600,1.422000
0.007630,1.422000
0.007660,1.422000
0.007690,1.422000
0.007720,1.422000
0.007750,1.422000
0.007780,1.422000
0.007810,1.422000
0.007840,1.422000
0.007860,1.422000
0.007900,1.422000
0.007920,1.422000
0.007950,1.422000
0.007980,1.422000
0.008010,1.422000
0.008040,1.422000
0.008070,1.422000
0.008100,1.422000
0.008130,1.422000
0.008160,1.422000
0.008190,1.422000
0.008220,1.422000
0.008250,1.422000
0.008280,1.422000
0.008300,1.422000
0.008330,1.422000
0.008360,1.422000
0.008390,1.422000
0.008420,1.422000
0.008450,1.422000
0.008480,1.422000
0.008500,1.422000
0.008530,1.422000
0.008570,1.422000
0.008600,1.427000
0.008620,1.422000
0.008650,1.422000
0.008680,1.422000
0.008710,1.422000
0.008740,1.422000
0.008770,1.422000
0.008800,1.422000
0.008820,1.427000
0.008850,1.422000
0.008880,1.422000
0.008910,1.422000
0.008940,1.422000
0.008960,1.422000
0.009000,1.422000
0.009020,1.437000
0.009050,1.422000
0.009080,1.422000
0.009110,1.427000
0.009140,1.422000
0.009160,1.427000
0.009190,1.427000
0.009220,1.437000
0.009250,1.427000
0.009280,1.427000
0.009310,1.437000
0.009340,1.437000
0.009360,1.437000
0.009390,1.427000
0.009420,1.437000
0.009450,1.437000
0.009480,1.437000
0.009510,1.437000
0.009540,1.437000
0.009560,1.437000
0.009600,1.437000
0.009630,1.437000
0.009660,1.437000
0.009680,1.437000
0.009710,1.437000
0.009740,1.437000
0.009770,1.437000
0.009800,1.437000
0.009830,1.437000
0.009860,1.437000
0.009880,1.437000
0.009910,1.437000
0.009940,1.437000
0.009970,1.437000
0.010000,1.437000
0.010030,1.437000
0.010060,1.437000
0.010080,1.437000
0.010110,1.437000
0.010140,1.437000
0.010170,1.437000
0.010200,1.437000
0.010220,1.437000
0.010260,1.437000
0.010280,1.437000
0.010310,1.437000
0.010340,1.437000
0.010370,1.437000
0.010400,1.442000
0.010420,1.437000
0.010450,1.437000
0.010480,1.437000
0.010510,1.437000
0.010540,1.437000
0.010570,1.437000
0.010600,1.442000
0.010630,1.437000
0.010660,1.437000
0.010680,1.437000
0.010710,1.437000
0.010740,1.437000
0.010770,1.442000
0.010800,1.442000
0.010830,1.442000
0.010860,1.437000
0.010880,1.442000
0.010910,1.442000
0.010940,1.442000
0.010970,1.442000
0.011000,1.442000
0.011020,1.442000
0.011060,1.442000
0.011080,1.442000
0.011110,1.442000
0.011140,1.442000
0.011170,1.442000
0.011200,1.442000
0.011220,1.442000
0.011250,1.442000
0.011280,1.442000
0.011310,1.442000
0.011340,1.442000
0.011370,1.442000
0.011400,1.442000
0.011420,1.442000
0.011450,1.442000
0.011480,1.442000
0.011510,1.442000
0.011540,1.442000
0.011570,1.442000
0.011600,1.442000
0.011630,1.442000
0.011660,1.442000
0.011690,1.442000
0.011720,1.442000
0.011740,1.442000
0.011770,1.442000
0.011800,1.442000
0.011830,1.442000
0.011860,1.442000
0.011890,1.442000
0.011920,1.442000
0.011940,1.442000
0.011970,1.442000
0.012000,1.442000
0.012030,1.442000
0.012060,1.442000
0.012090,1.442000
0.012120,1.442000
0.012140,1.442000
0.012170,1.442000
0.012200,1.442000
0.012230,1.442000
0.012260,1.442000
0.012280,1.442000
0.012320,1.442000
0.012340,1.442000
0.012370,1.442000
0.012400,1.442000
0.012430,1.442000
0.012460,1.442000
0.000020,2.375000
0.000050,3.456000
0.000090,3.905000
0.000120,3.201000
0.000150,2.933000
0.000180,3.392000
0.000220,3.587000
0.000250,3.280000
0.000280,3.123000
0.000310,3.343000
0.000350,3.441000
0.000380,3.299000
0.000410,3.245000
0.000440,3.343000
0.000480,3.368000
0.000510,3.299000
0.000540,3.280000
0.000580,3.343000
0.000620,3.343000
0.000650,3.299000
0.000680,3.299000
0.000710,3.319000
0.000740,3.319000
0.000780,3.314000
0.000810,3.314000
0.000840,3.319000
0.000880,3.319000
0.000910,3.319000
0.000940,3.319000
0.000970,3.319000
0.001000,3.319000
0.001040,3.319000
0.001070,3.319000
0.001100,3.319000
0.001130,3.319000
0.001160,3.319000
0.001200,3.319000
0.001230,3.319000
0.001260,3.319000
0.001290,3.319000
0.001320,3.319000
0.001350,3.319000
0.001380,3.319000
0.001420,3.319000
0.001450,3.319000
0.001480,3.319000
0.001510,3.319000
0.001540,3.319000
0.001580,3.319000
0.001610,3.319000
0.001640,3.319000
0.001670,3.319000
0.001700,3.319000
0.001740,3.319000
0.001770,3.319000
0.001800,3.319000
0.001830,3.319000
0.001860,3.319000
0.001890,3.319000
0.001920,3.319000
0.001960,3.319000
0.001990,3.319000
0.002020,3.319000
0.002050,3.319000
0.002080,3.319000
0.002110,3.319000
0.002140,3.319000
0.002170,3.319000
0.002200,3.319000
0.002240,3.319000
0.002260,3.319000
0.002300,3.319000
0.002320,3.319000
0.002360,3.319000
0.002390,3.319000
0.002420,3.319000
0.002450,3.319000
0.002480,3.319000
0.002510,3.319000
0.002540,3.319000
0.002570,3.319000
0.002600,3.319000
0.002630,3.314000
0.002660,3.314000
0.002690,3.314000
0.002720,3.314000
0.002760,3.314000
0.002780,3.314000
0.002820,3.314000
0.002850,3.314000
0.002880,3.319000
0.002910,3.314000
0.002940,3.314000
0.002970,3.314000
0.003000,3.314000
0.003030,3.314000
0.003060,3.314000
0.003090,3.314000
0.003120,3.314000
0.003150,3.314000
0.003180,3.314000
0.003210,3.314000
0.003240,3.314000
0.003270,3.314000
0.003300,3.314000
0.003340,3.314000
0.003360,3.314000
0.003400,3.314000
0.003420,3.314000
0.003460,3.314000
0.003490,3.314000
0.003520,3.314000
0.003550,3.314000
0.003580,3.314000
0.003610,3.314000
0.003640,3.314000
0.003680,3.314000
0.003710,3.314000
0.003740,3.314000
0.003770,3.314000
0.003800,3.314000
0.003830,3.314000
0.003860,3.314000
0.003890,3.314000
0.003920,3.304000
0.003950,3.314000
0.003980,3.304000
0.004010,3.304000
0.004040,3.299000
0.004070,3.304000
0.004100,3.314000
0.004130,3.299000
0.004160,3.299000
0.004190,3.299000
0.004220,3.299000
0.004250,3.299000
0.004280,3.299000
0.004310,3.299000
0.004340,3.299000
0.004370,3.299000
0.004400,3.299000
0.004430,3.314000
0.004460,3.299000
0.004490,3.299000
0.004520,3.299000
0.004540,3.299000
0.004580,3.299000
0.004600,3.299000
0.004630,3.299000
0.004670,3.299000
0.004700,3.299000
0.004730,3.299000
0.004760,3.299000
0.004790,3.299000
0.004820,3.299000
0.004850,3.299000
0.004880,3.299000
0.004900,3.299000
0.004940,3.299000
0.004960,3.299000
0.004990,3.299000
0.005020,3.299000
0.005050,3.299000
0.005080,3.299000
0.005110,3.299000
0.005140,3.299000
0.005170,3.299000
0.005200,3.299000
0.005230,3.299000
0.005260,3.299000
0.005290,3.299000
0.005320,3.299000
0.005350,3.299000
0.005380,3.299000
0.005410,3.299000
0.005440,3.299000
0.005470,3.299000
0.005500,3.299000
0.005520,3.299000
0.005560,3.299000
0.005580,3.299000
0.005610,3.299000
0.005640,3.299000
0.005680,3.299000
0.005700,3.299000
0.005730,3.299000
0.005760,3.299000
0.005790,3.299000
0.005820,3.299000
0.005850,3.299000
0.005880,3.299000
0.005910,3.299000
0.005940,3.299000
0.005970,3.299000
0.006000,3.299000
0.006030,3.299000
0.006060,3.299000
0.006090,3.299000
0.006120,3.299000
0.006150,3.299000
0.006180,3.299000
0.006200,3.299000
0.006240,3.299000
0.006260,3.299000
0.006290,3.299000
0.006320,3.299000
0.006350,3.299000
0.006380,3.299000
0.006410,3.299000
0.006440,3.299000
0.006470,3.299000
0.006500,3.299000
0.006530,3.299000
0.006560,3.299000
0.006590,3.299000
0.006620,3.299000
0.006650,3.299000
0.006680,3.299000
0.006710,3.299000
0.006740,3.299000
0.006760,2.361000
0.006800,1.486000
0.006820,0.777000
0.006850,1.217000
0.006880,1.813000
0.006910,1.657000
0.006940,1.212000
0.006970,1.212000
0.007000,1.525000
0.007030,1.598000
0.007060,1.398000
0.007100,1.310000
0.007120,1.442000
0.007150,1.515000
0.007180,1.422000
0.007210,1.369000
0.007240,1.403000
0.007270,1.466000
0.007300,1.442000
0.007330,1.403000
0.007360,1.403000
0.007390,1.437000
0.007420,1.442000
0.007450,1.413000
0.007480,1.403000
0.007510,1.422000
0.007540,1.432000
0.007570,1.422000
0.007600,1.413000
0.007620,1.422000
0.007660,1.422000
0.007680,1.422000
0.007720,1.422000
0.007740,1.422000
0.007770,1.422000
0.007800,1.422000
0.007830,1.422000
