x	V(vo)	I(Rc)
1.000000000000000e+001	3.102501e-002	3.102501e-003
6.000000000000000e+001	1.776971e-001	2.961618e-003
1.100000000000000e+002	3.116271e-001	2.832974e-003
1.600000000000000e+002	4.344065e-001	2.715041e-003
2.100000000000000e+002	5.473721e-001	2.606534e-003
2.600000000000000e+002	6.516553e-001	2.506367e-003
3.100000000000000e+002	7.482201e-001	2.413613e-003
3.600000000000000e+002	8.378928e-001	2.327480e-003
4.100000000000000e+002	9.213857e-001	2.247282e-003
4.600000000000000e+002	9.993166e-001	2.172427e-003
5.100000000000000e+002	1.072223e+000	2.102398e-003
5.600000000000000e+002	1.140576e+000	2.036743e-003
6.100000000000000e+002	1.204789e+000	1.975064e-003
6.600000000000000e+002	1.265228e+000	1.917012e-003
7.100000000000000e+002	1.322214e+000	1.862274e-003
7.600000000000000e+002	1.376037e+000	1.810575e-003
8.100000000000000e+002	1.426952e+000	1.761670e-003
8.600000000000000e+002	1.475190e+000	1.715337e-003
9.100000000000000e+002	1.520954e+000	1.671378e-003
9.600000000000000e+002	1.564432e+000	1.629617e-003
1.010000000000000e+003	1.605790e+000	1.589891e-003
1.060000000000000e+003	1.645179e+000	1.552056e-003
1.110000000000000e+003	1.682738e+000	1.515980e-003
1.160000000000000e+003	1.718590e+000	1.481543e-003
1.210000000000000e+003	1.752849e+000	1.448636e-003
1.260000000000000e+003	1.785620e+000	1.417159e-003
1.310000000000000e+003	1.816997e+000	1.387020e-003
1.360000000000000e+003	1.847067e+000	1.358137e-003
1.410000000000000e+003	1.875910e+000	1.330432e-003
1.460000000000000e+003	1.903600e+000	1.303835e-003
1.510000000000000e+003	1.930204e+000	1.278281e-003
1.560000000000000e+003	1.955786e+000	1.253709e-003
1.610000000000000e+003	1.980403e+000	1.230064e-003
1.660000000000000e+003	2.004108e+000	1.207294e-003
1.710000000000000e+003	2.026952e+000	1.185352e-003
1.760000000000000e+003	2.048980e+000	1.164193e-003
1.810000000000000e+003	2.070235e+000	1.143777e-003
1.860000000000000e+003	2.090759e+000	1.124064e-003
1.910000000000000e+003	2.110586e+000	1.105019e-003
1.960000000000000e+003	2.129753e+000	1.086609e-003
2.010000000000000e+003	2.148291e+000	1.068802e-003
2.060000000000000e+003	2.166232e+000	1.051569e-003
2.110000000000000e+003	2.183604e+000	1.034883e-003
2.160000000000000e+003	2.200432e+000	1.018719e-003
2.210000000000000e+003	2.216743e+000	1.003051e-003
2.260000000000000e+003	2.232560e+000	9.878586e-004
2.310000000000000e+003	2.247905e+000	9.731192e-004
2.360000000000000e+003	2.262799e+000	9.588132e-004
2.410000000000000e+003	2.277261e+000	9.449218e-004
2.460000000000000e+003	2.291311e+000	9.314271e-004
2.510000000000000e+003	2.304964e+000	9.183125e-004
2.560000000000000e+003	2.318239e+000	9.055620e-004
2.610000000000000e+003	2.331150e+000	8.931607e-004
2.660000000000000e+003	2.343711e+000	8.810945e-004
2.710000000000000e+003	2.355939e+000	8.693500e-004
2.760000000000000e+003	2.367844e+000	8.579145e-004
2.810000000000000e+003	2.379440e+000	8.467759e-004
2.860000000000000e+003	2.390739e+000	8.359228e-004
2.910000000000000e+003	2.401752e+000	8.253445e-004
2.960000000000000e+003	2.412490e+000	8.150305e-004
3.010000000000000e+003	2.422963e+000	8.049711e-004
3.060000000000000e+003	2.433180e+000	7.951570e-004
3.110000000000000e+003	2.443151e+000	7.855793e-004
3.160000000000000e+003	2.452885e+000	7.762295e-004
3.210000000000000e+003	2.462390e+000	7.670998e-004
3.260000000000000e+003	2.471674e+000	7.581823e-004
3.310000000000000e+003	2.480745e+000	7.494697e-004
3.360000000000000e+003	2.489609e+000	7.409552e-004
3.410000000000000e+003	2.498275e+000	7.326318e-004
3.460000000000000e+003	2.506747e+000	7.244935e-004
3.510000000000000e+003	2.515034e+000	7.165339e-004
3.560000000000000e+003	2.523141e+000	7.087474e-004
3.610000000000000e+003	2.531073e+000	7.011282e-004
3.660000000000000e+003	2.538836e+000	6.936711e-004
3.710000000000000e+003	2.546436e+000	6.863710e-004
3.760000000000000e+003	2.553878e+000	6.792229e-004
3.810000000000000e+003	2.561167e+000	6.722222e-004
3.860000000000000e+003	2.568306e+000	6.653643e-004
3.910000000000000e+003	2.575302e+000	6.586449e-004
3.960000000000000e+003	2.582157e+000	6.520599e-004
4.010000000000000e+003	2.588877e+000	6.456053e-004
4.060000000000000e+003	2.595465e+000	6.392772e-004
4.110000000000000e+003	2.601926e+000	6.330719e-004
4.160000000000000e+003	2.608262e+000	6.269860e-004
4.210000000000000e+003	2.614477e+000	6.210159e-004
4.260000000000000e+003	2.620575e+000	6.151585e-004
4.310000000000000e+003	2.626559e+000	6.094105e-004
4.360000000000000e+003	2.632433e+000	6.037690e-004
4.410000000000000e+003	2.638198e+000	5.982309e-004
4.460000000000000e+003	2.643859e+000	5.927935e-004
4.510000000000000e+003	2.649418e+000	5.874541e-004
4.560000000000000e+003	2.654877e+000	5.822100e-004
4.610000000000000e+003	2.660240e+000	5.770586e-004
4.660000000000000e+003	2.665509e+000	5.719977e-004
4.710000000000000e+003	2.670687e+000	5.670247e-004
4.760000000000000e+003	2.675775e+000	5.621375e-004
4.810000000000000e+003	2.680776e+000	5.573339e-004
4.860000000000000e+003	2.685692e+000	5.526115e-004
4.910000000000000e+003	2.690526e+000	5.479686e-004
4.960000000000000e+003	2.695279e+000	5.434030e-004
