Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10
0.000044,2.375000,2.468000,0.865000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000088,2.263000,2.463000,0.450000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000136,2.190000,2.439000,0.293000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000180,2.170000,2.424000,0.249000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000224,2.190000,2.414000,0.528000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000272,2.219000,2.405000,0.865000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000320,2.263000,2.405000,1.325000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000372,2.346000,2.424000,2.023000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000424,2.454000,2.439000,2.737000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000476,2.556000,2.463000,3.597000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000524,2.649000,2.483000,4.047000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000576,2.732000,2.507000,4.472000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000628,2.776000,2.532000,4.726000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000680,2.810000,2.537000,4.765000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000728,2.810000,2.561000,4.575000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000780,2.781000,2.561000,4.140000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000832,2.717000,2.561000,3.558000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000880,2.639000,2.537000,2.810000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000932,2.537000,2.532000,2.067000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.000984,2.424000,2.502000,1.403000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001040,2.336000,2.478000,0.777000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001088,2.248000,2.463000,0.430000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001140,2.180000,2.429000,0.288000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001192,2.151000,2.424000,0.308000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001240,2.180000,2.405000,0.562000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001292,2.224000,2.405000,0.973000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001344,2.287000,2.414000,1.623000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001392,2.380000,2.424000,2.307000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001444,2.483000,2.439000,3.094000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001492,2.576000,2.463000,3.715000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001544,2.674000,2.493000,4.238000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001596,2.752000,2.517000,4.658000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001644,2.830000,2.537000,4.653000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001696,2.849000,2.546000,4.673000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001748,2.810000,2.561000,4.423000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001796,2.776000,2.561000,3.900000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001848,2.693000,2.561000,3.280000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001896,2.595000,2.537000,2.654000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.001948,2.502000,2.517000,1.877000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002000,2.400000,2.498000,1.246000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002056,2.307000,2.468000,0.621000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002104,2.224000,2.439000,0.308000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002148,2.170000,2.424000,0.279000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002196,2.141000,2.414000,0.279000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002244,2.190000,2.405000,0.547000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002288,2.219000,2.405000,0.938000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002336,2.283000,2.414000,1.623000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002384,2.361000,2.424000,2.190000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002432,2.454000,2.429000,2.830000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002476,2.546000,2.463000,3.456000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002524,2.649000,2.483000,4.062000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002572,2.737000,2.498000,4.497000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002616,2.805000,2.517000,4.697000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002664,2.859000,2.537000,4.761000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002712,2.849000,2.556000,4.653000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002756,2.810000,2.561000,4.379000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002804,2.752000,2.561000,3.871000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002852,2.693000,2.556000,3.265000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002896,2.595000,2.537000,2.561000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002944,2.502000,2.517000,1.838000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.002992,2.405000,2.498000,1.266000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003036,2.322000,2.468000,0.787000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003088,2.248000,2.454000,0.406000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003136,2.170000,2.429000,0.274000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003184,2.155000,2.419000,0.274000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003228,2.165000,2.405000,0.371000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003276,2.204000,2.405000,0.855000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003324,2.263000,2.405000,1.344000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003368,2.346000,2.419000,1.994000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003416,2.424000,2.424000,2.776000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003464,2.507000,2.454000,3.421000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003508,2.620000,2.468000,3.871000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003556,2.693000,2.498000,4.360000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003604,2.796000,2.517000,4.629000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003652,2.830000,2.537000,4.809000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003696,2.859000,2.537000,4.736000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003744,2.810000,2.561000,4.438000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003792,2.781000,2.561000,3.944000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003836,2.717000,2.556000,3.402000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003884,2.620000,2.537000,2.703000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003932,2.537000,2.532000,2.067000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.003976,2.429000,2.502000,1.442000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004024,2.351000,2.483000,0.890000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004072,2.248000,2.463000,0.430000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004124,2.190000,2.429000,0.215000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004168,2.190000,2.424000,0.347000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004216,2.190000,2.405000,0.552000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004264,2.195000,2.405000,0.748000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004308,2.258000,2.405000,1.246000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004356,2.326000,2.414000,1.818000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004400,2.390000,2.424000,2.439000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004448,2.483000,2.439000,3.123000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004492,2.586000,2.463000,3.651000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004540,2.654000,2.483000,4.316000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004584,2.742000,2.502000,4.438000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004632,2.796000,2.532000,4.751000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004680,2.830000,2.537000,4.614000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004724,2.810000,2.561000,4.531000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004772,2.781000,2.561000,4.096000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
0.004816,2.737000,2.561000,3.754000,0.670000,0.156000,4.511000,1020.400000,6.737000,-17.000000
