tau,error tau,resistencia,error resistencia
0.0003,0.000001,210,2.54
0.00114,0.000001,1000,12
0.00167,0.00001,1500,18
0.00227,0.00002,2000,24
0.00278,0.00001,2500,30
0.00334,0.00002,3000,36
0.00394,0.00003,3500,42
0.00459,0.00005,4000,48	
0.00515,0.00005,4500,54
0.00554,0.00004,5000,60
0.0068,0.0001,6000,72
0.00735,0.00011,6500,78	
0.00764,0.00003,7000,84
0.00812,0.00016,7500,90
0.00881,0.00004,8000,96
0.00938,0.00005,8500,102
0.00982,0.00004,9000,108
0.01062,0.00008,9500,114
0.01083,0.00005,10000,120
