tau,error tau,resistencia,error resistencia
0.00027,0.000001,210,2.54
0.00113,0.000001,1000,12
0.00168,0.00001,1500,18
0.00237,0.00003,2000,24
0.00281,0.00003,2500,30
0.00348,0.00005,3000,36
0.0039,0.00003,3500,42
0.00438,0.00003,4000,48
0.00503,0.00004,4500,54
0.00561,0.00005,5000,60
0.00695,0.00012,6000,72
0.00725,0.00006,6500,78
0.00803,0.00011,7000,84
0.00884,0.00016,7500,90
0.00944,0.00017,8000,96
0.00969,0.00013,8500,102
0.01027,0.00014,9000,108
0.01053,0.00011,9500,114
0.01083,0.00005,10000,120
