tau,error tau,resistencia,error resistencia
0.00032,0.000001,210,2.54
0.00131,0.00003,1000,12
0.00182,0.00002,1500,18
0.00259,0.00005,2000,24
0.00329,0.00009,2500,30
0.00358,0.00004,3000,36
0.00438,0.0001,3500,42
0.00503,0.00014,4000,48	
0.00536,0.00007,4500,54
0.00596,0.00008,5000,60
0.00739,0.0001,6000,72
0.00817,0.00018,6500,78	
0.00859,0.00012,7000,84
0.00914,0.00015,7500,90
0.0097,0.00013,8000,96
0.01075,0.00021,8500,102
0.01095,0.00025,9000,108
0.01173,0.00018,9500,114
0.01274,0.00029,10000,120
