tau,error tau,resistencia,error resistencia
0.000271628,0.000001032,  212.25,    2.12
0.001122956,0.000003774, 1000.00,   10.00
0.001604968,0.000004294, 1500.00,   15.00
0.002179631,0.000005558, 2000.00,   20.00
0.002709310,0.000005747, 2500.00,   25.00
0.003290066,0.000013766, 3000.00,   30.00
0.003769475,0.000009184, 3500.00,   35.00
0.004375135,0.000017284, 4000.00,   40.00
0.004877604,0.000028916, 4500.00,   45.00
0.005463733,0.000032704, 5000.00,   50.00

0.006490328,0.000028256, 6000.00,   60.00
0.007021628,0.000036005, 6500.00,   65.00
0.007536418,0.000024219, 7000.00,   70.00
0.008029909,0.000022002, 7500.00,   75.00
0.008574201,0.000026205, 8000.00,   80.00
0.009101549,0.000023513, 8500.00,   85.00
0.009642031,0.000029759, 9000.00,   90.00
0.010078010,0.000020062, 9500.00,   95.00
0.010674709,0.000043513,10000.00,  100.00
