tau,error tau,resistencia,error resistencia
0.00029,0.000001,210,2.54
0.00117,0.00001,1000,12
0.00174,0.00001,1500,18
0.00224,0.00001,2000,24
0.00237,0.00002,2500,30
0.00338,0.00006,3000,36
0.00392,0.00003,3400,42
0.00408,0.00003,4000,48
0.005,0.00003,4500,54
0.00557,0.00003,5000,60
0.00671,0.00005,6000,72
0.00724,0.00005,6500,78
0.00784,0.00004,7000,84
0.0084,0.00004,7500,90
0.00899,0.00006,8000,96
0.00951,0.00008,8500,102
0.01008,0.00005,9000,108
0.01109,0.00017,9500,114
0.01135,0.00019,10000,120

