tau,error tau,resistencia,error resistencia
0.000270285,0.000000564,  212.25,    2.12
0.001108430,0.000002308, 1000.00,   10.00
0.001638780,0.000003530, 1500.00,   15.00
0.002184018,0.000006436, 2000.00,   20.00
0.002698978,0.000009936, 2500.00,   25.00
0.003228251,0.000013607, 3000.00,   30.00
0.003720042,0.000008273, 3500.00,   35.00
0.004276166,0.000009221, 4000.00,   40.00
0.004774783,0.000008658, 4500.00,   45.00
0.005320310,0.000009128, 5000.00,   50.00
0.006494376,0.000047858, 6000.00,   60.00
0.006872014,0.000013894, 6500.00,   65.00
0.007474880,0.000021497, 7000.00,   70.00
0.008003632,0.000023882, 7500.00,   75.00
0.008464329,0.000018122, 8000.00,   80.00
0.008985786,0.000022213, 8500.00,   85.00
0.009480366,0.000018676, 9000.00,   90.00
0.010063385,0.000017471, 9500.00,   95.00
0.010618527,0.000027057,10000.00,  100.00
